,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
3776,PstI.TP477722,PF04305,"PTHR21496,PTHR21496:SF6",,,,,AT5G04520,,Protein of unknown function DUF455,LOC_Os03g24830,NA,"uncharacterized protein HI0077, putative, expressed"
3778,PstI.TP480160,"PF13812,PF01535,PF12854","PTHR24015,PTHR24015:SF821",,,,,AT1G77360,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os04g44030,NA,"PPR repeat domain containing protein, putative, expressed"
3779,PstI.TP480160,,,,,,,,,,,NA,
3780,PstI.TP480160,PF00230,"PTHR19139,PTHR19139:SF137",KOG0223,,K09872,"GO:0016020,GO:0006810,GO:0005215",AT2G37170,"PIP2;2,PIP2B",plasma membrane intrinsic protein 2,LOC_Os02g41860,NA,"aquaporin protein, putative, expressed"
3781,PstI.TP480160,,"PTHR37263,PTHR37263:SF1",,,,,AT5G49015,,Expressed protein,LOC_Os04g44070,NA,expressed protein
3782,PstI.TP480160,,"PTHR33883,PTHR33883:SF3",,,,,AT2G34730,,myosin heavy chain-related,LOC_Os04g44090,NA,expressed protein
3783,PstI.TP480160,,PTHR37697,,,,,,,,LOC_Os04g44100,NA,expressed protein
3784,PstI.TP480160,PF01546,"PTHR11014,PTHR11014:SF103",,,K14664,"GO:0016787,GO:0008152",AT5G54140,ILL3,IAA-leucine-resistant (ILR1)-like 3,LOC_Os04g44110,NA,"hydrolase, putative, expressed"
3785,PstI.TP480160,,,,,,,,,,,NA,
3787,PstI.TP48338,,"PTHR22835,PTHR22835:SF175",,3.1.1.49,,,AT5G03610,,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os04g55660,NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
3788,PstI.TP48338,PF09011,PTHR31675,,,,GO:0007275,AT4G00180,YAB3,Plant-specific transcription factor YABBY family protein,LOC_Os07g38410,NA,"YABBY domain containing protein, putative, expressed"
3789,PstI.TP48338,PF09335,"PTHR10281,PTHR10281:SF44",KOG1109,,,,AT4G14950,,SNARE associated Golgi protein family,LOC_Os07g38380,NA,"transmembrane protein 49, putative, expressed"
3790,PstI.TP48338,PF07690,"PTHR24064,PTHR24064:SF256",KOG0253,,,"GO:0055085,GO:0016021",AT3G13050,,Major facilitator superfamily protein,LOC_Os07g38400,NA,"transporter family protein, putative, expressed"
3791,PstI.TP48338,,,,,,,,,,,NA,
3792,PstI.TP48338,"PF08799,PF02840","PTHR13007,PTHR13007:SF19",KOG2808,,K12817,"GO:0008380,GO:0005681",AT1G03140,,splicing factor Prp18 family protein,LOC_Os07g38420,NA,"pre-mRNA-splicing factor, putative, expressed"
3794,PstI.TP485114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3795,PstI.TP485114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3796,PstI.TP485114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797,PstI.TP485114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3799,PstI.TP485114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3800,PstI.TP487081,PF07714,"PTHR23257,PTHR23257:SF501",KOG0192,2.7.11.1,,"GO:0006468,GO:0004672",AT5G58950,,Protein kinase superfamily protein,LOC_Os01g10450,NA,"protein kinase domain containing protein, expressed"
3802,PstI.TP487081,PF02485,"PTHR19297,PTHR19297:SF75",KOG0799,,,"GO:0016020,GO:0008375",AT3G15350,,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",LOC_Os01g10440,NA,"xylosyltransferase, putative, expressed"
3803,PstI.TP487745,"PF13180,PF13365","PTHR22939,PTHR22939:SF99",KOG1320,3.4.21.107,,GO:0005515,AT5G39830,"DEG8,DEGP8",Trypsin family protein with PDZ domain,LOC_Os04g38640,NA,"OsDegp5 - Putative Deg protease homologue, expressed"
3804,PstI.TP487745,,PTHR36726,,,,,,,,LOC_Os02g36730,NA,expressed protein
3805,PstI.TP487745,PF00956,"PTHR11875,PTHR11875:SF68",KOG1508,,K11290,"GO:0006334,GO:0005634",AT1G18800,NRP2,NAP1-related protein 2,LOC_Os04g38620,NA,"NAP domain containing protein, putative, expressed"
3806,PstI.TP487745,"PF00271,PF12513","PTHR12131,PTHR12131:SF1",,3.6.4.13,K17675,GO:0016817,AT5G39840,,"ATP-dependent RNA helicase, mitochondrial, putative",LOC_Os04g38630,NA,"helicase conserved C-terminal domain containing protein, expressed"
3808,PstI.TP488800,PF13639,"PTHR14155:SF72,PTHR14155",KOG1493,,,"GO:0005515,GO:0008270",AT1G45180,,RING/U-box superfamily protein,LOC_Os04g55510,NA,"zinc finger, C3HC4 type domain containing protein, expressed"
3809,PstI.TP488800,PF00847,"PTHR31729,PTHR31729:SF1",,,K09286,"GO:0006355,GO:0003700",AT2G23340,DEAR3,DREB and EAR motif protein 3,LOC_Os04g55520,NA,"AP2 domain containing protein, expressed"
3811,PstI.TP490103,,,,,,,,,,,NA,
3812,PstI.TP490103,,,,,,,,,,,NA,
3813,PstI.TP490103,"PF11721,PF07714","PTHR27003,PTHR27003:SF53",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT3G51550,FER,Malectin/receptor-like protein kinase family protein,LOC_Os01g56330,NA,"TKL_IRAK_CrRLK1L-1.5 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed"
3814,PstI.TP490103,"PF08142,PF04950","PTHR12858,PTHR12858:SF2",KOG1951,,K14569,"GO:0042254,GO:0005634",AT1G06720,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os03g21530,NA,"AARP2CN domain containing protein, expressed"
3818,PstI.TP491926,,"PTHR13815,PTHR13815:SF5",,,,,AT2G19950,GC1,golgin candidate 1,LOC_Os01g54119,NA,"retrotransposon protein, putative, unclassified, expressed"
3819,PstI.TP491926,PF00320,"PTHR10071,PTHR10071:SF170",,,,"GO:0043565,GO:0008270,GO:0006355,GO:0003700",AT5G25830,GATA12,GATA transcription factor 12,LOC_Os01g54210,NA,"GATA zinc finger domain containing protein, expressed"
3820,PstI.TP491926,"PF02213,PF02201,PF03126","PTHR22884,PTHR22884:SF339",KOG1946,,,"GO:0005515,GO:0003677",AT2G16485,,nucleic acid binding;zinc ion binding;DNA binding,LOC_Os09g36090,NA,"plus-3 domain containing protein, expressed"
3822,PstI.TP494123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3823,PstI.TP494123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3824,PstI.TP494123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3828,PstI.TP494123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3830,PstI.TP494123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3838,PstI.TP495406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3839,PstI.TP495406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3840,PstI.TP495406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3841,PstI.TP495406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3845,PstI.TP502131,,,,,,,,,,,NA,
3846,PstI.TP502131,PF00534,"PTHR12526,PTHR12526:SF354",,,,,AT5G04480,,UDP-Glycosyltransferase superfamily protein,LOC_Os10g39900,NA,"glycosyltransferase family protein 1, putative, expressed"
3847,PstI.TP502131,PF01190,"PTHR33470,PTHR33470:SF6",,,,,AT3G09925,,Pollen Ole e 1 allergen and extensin family protein,LOC_Os10g39890,NA,"POEI31 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed"
3851,PstI.TP512607,"PF03936,PF01397","PTHR31225:SF4,PTHR31225",,,K15803,"GO:0000287,GO:0008152,GO:0010333,GO:0016829",AT5G23960,"ATTPS21,TPS21",terpene synthase 21,LOC_Os08g04500,NA,"terpene synthase, putative, expressed"
3852,PstI.TP513010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3853,PstI.TP513010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3854,PstI.TP513949,"PF04863,PF04864","PTHR11751,PTHR11751:SF126",,,,GO:0016846,AT1G34060,,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,LOC_Os01g52010,NA,"alliin lyase precursor, putative, expressed"
3855,PstI.TP513949,,,,,,,,,,,NA,
3856,PstI.TP515295,PF00557,"PTHR10804,PTHR10804:SF9",,3.4.11.18,K01265,"GO:0008235,GO:0006508,GO:0004177",AT3G59990,MAP2B,methionine aminopeptidase 2B,LOC_Os12g43370,NA,"peptidase, M24 family protein, putative, expressed"
3857,PstI.TP515295,PF01781,"PTHR10965,PTHR10965:SF2",KOG3499,,K02923,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",AT3G59540,,Ribosomal L38e protein family,LOC_Os11g24610,NA,"60S ribosomal protein L38, putative, expressed"
3858,PstI.TP515295,"PF08079,PF00327","PTHR11524,PTHR11524:SF11",KOG3184,,K02937,,AT2G01250,,Ribosomal protein L30/L7 family protein,LOC_Os08g42920,NA,"60S ribosomal protein L7, putative, expressed"
3861,PstI.TP51995,"PF13180,PF13365","PTHR22939,PTHR22939:SF87",KOG1320,3.4.21.107,,GO:0005515,AT5G36950,DegP10,DegP protease 10,LOC_Os05g34460,NA,"OsDegp7 - Putative Deg protease homologue, expressed"
3862,PstI.TP51995,,"PTHR33976,PTHR33976:SF1",,,,,AT3G06035,,Glycoprotein membrane precursor GPI-anchored,LOC_Os07g45060,NA,"uncharacterized GPI-anchored protein At5g19240 precursor, putative, expressed"
3863,PstI.TP51995,"PF00454,PF02259","PTHR11139,PTHR11139:SF1",,2.7.11.1,K08874,"GO:0016773,GO:0005515",AT2G17930,,Phosphatidylinositol 3- and 4-kinase family protein with FAT domain,LOC_Os07g45070,NA,"FAT domain-containing protein, putative, expressed"
3864,PstI.TP52046,"PF13181,PF13041,PF01535","PTHR24015,PTHR24015:SF27",,,,GO:0005515,AT1G02150,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os04g46010,NA,"PPR repeat domain containing protein, putative, expressed"
3865,PstI.TP52046,"PF13919,PF00320","PTHR10071,PTHR10071:SF159",,,,"GO:0043565,GO:0008270,GO:0006355,GO:0003700",AT4G17570,GATA26,GATA transcription factor 26,LOC_Os04g46020,NA,"GATA zinc finger domain containing protein, expressed"
3867,PstI.TP522628,"PF10404,PF10403,PF10405,PF03835","PTHR12135,PTHR12135:SF0",KOG2179,,K10838,"GO:0003677,GO:0006289,GO:0005634,GO:0003684",AT5G16630,"ATRAD4,RAD4",DNA repair protein Rad4 family,LOC_Os08g33082,NA,"DNA-repair protein complementing XP-C cells, putative, expressed"
3868,PstI.TP522628,"PF07714,PF13855,PF08263","PTHR27008:SF30,PTHR27008",KOG1187,2.7.11.1,,"GO:0004672,GO:0006468,GO:0005515",AT1G48480,RKL1,receptor-like kinase 1,LOC_Os08g33090,NA,"inactive receptor kinase At2g26730 precursor, putative, expressed"
3869,PstI.TP522628,PF00076,"PTHR19965,PTHR19965:SF33",,,K12881,GO:0003676,AT5G37720,ALY4,ALWAYS EARLY 4,LOC_Os08g33120,NA,"RNA recognition motif containing protein, putative, expressed"
3872,PstI.TP53013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3873,PstI.TP53013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3874,PstI.TP530627,PF04674,"PTHR31279:SF3,PTHR31279",,,,,AT4G08950,EXO,Phosphate-responsive 1 family protein,LOC_Os02g52040,NA,"phosphate-induced protein 1 conserved region domain containing protein, expressed"
3875,PstI.TP530837,PF00067,"PTHR24298,PTHR24298:SF161",KOG0156,1.14.13.89,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT4G37320,CYP81D5,"cytochrome P450, family 81, subfamily D, polypeptide 5",LOC_Os02g30080,NA,"cytochrome P450, putative, expressed"
3877,PstI.TP530837,"PF07732,PF00394,PF07731","PTHR11709:SF58,PTHR11709",,1.10.3.3,,"GO:0005507,GO:0016491,GO:0055114",AT5G48450,sks3,SKU5  similar 3,LOC_Os01g01030,NA,"monocopper oxidase, putative, expressed"
3878,PstI.TP530837,,PTHR37254,,,,,AT5G16520,,,LOC_Os01g01040,NA,expressed protein
3880,PstI.TP530837,,,,,,,,,,,NA,
3881,PstI.TP530837,PF13561,"PTHR24322,PTHR24322:SF591",KOG1014,1.1.1.330,K10251,,AT1G67730,"ATKCR1,KCR1,YBR159",beta-ketoacyl reductase 1,LOC_Os11g24484,NA,"estradiol 17-beta-dehydrogenase 12, putative, expressed"
3884,PstI.TP532426,,,,,,,AT2G42700,,,LOC_Os11g06810,NA,expressed protein
3887,PstI.TP532426,"PF07714,PF00069","PTHR24351,PTHR24351:SF59",,2.7.11.1,,"GO:0006468,GO:0004672,GO:0005524",AT5G47750,"D6PKL2,PK5",D6 protein kinase like 2,LOC_Os08g38320,NA,"AGC_PVPK_like_kin82y.14 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
3888,PstI.TP532426,,,,,,,AT5G55820,,,LOC_Os08g38310,NA,expressed protein
3889,PstI.TP532669,"PF13855,PF07714,PF12819","PTHR27003,PTHR27003:SF20",KOG1187,"2.7.11.1,2.7.10.1",,"GO:0005515,GO:0006468,GO:0004672",AT4G29990,,Leucine-rich repeat transmembrane protein kinase protein,LOC_Os02g05730,NA,"protein kinase domain containing protein, expressed"
3890,PstI.TP532669,PF00759,"PTHR22298,PTHR22298:SF53",,3.2.1.4,,"GO:0005975,GO:0004553",AT2G32990,"AtGH9B8,GH9B8",glycosyl hydrolase 9B8,LOC_Os02g05744,NA,"endoglucanase, putative, expressed"
3891,PstI.TP537292,"PF13417,PF00043","PTHR11260,PTHR11260:SF209",KOG0867,2.5.1.18,K00799,GO:0005515,AT2G47730,"ATGSTF5,ATGSTF8,GST6,GSTF8",glutathione S-transferase phi 8,LOC_Os03g04240,NA,"glutathione S-transferase, putative, expressed"
3894,PstI.TP537292,"PF02798,PF00043","PTHR11260,PTHR11260:SF287",KOG0867,2.5.1.18,K00799,GO:0005515,AT3G03190,"ATGSTF11,ATGSTF6,GSTF11",glutathione S-transferase F11,LOC_Os03g04220,NA,"glutathione S-transferase, putative, expressed"
3895,PstI.TP537292,PF00612,"PTHR10699,PTHR10699:SF11",,,,GO:0005515,AT3G51380,IQD20,IQ-domain 20,LOC_Os03g04210,NA,"IQ calmodulin-binding motif family protein, putative, expressed"
3904,PstI.TP537424,PF07714,"PTHR27001,PTHR27001:SF22",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT5G15080,,Protein kinase superfamily protein,LOC_Os01g40590,NA,"tyrosine protein kinase domain containing protein, putative, expressed"
3905,PstI.TP537424,,,,,,,,,,,NA,
3906,PstI.TP537665,PF02701,"PTHR31992,PTHR31992:SF29",,,,"GO:0006355,GO:0003677",AT1G07640,OBP2,Dof-type zinc finger DNA-binding family protein,LOC_Os03g55610,NA,"dof zinc finger domain containing protein, putative, expressed"
3907,PstI.TP537665,PF14531,"PTHR24350,PTHR24350:SF7",KOG0580,2.7.11.1,K08850,"GO:0007049,GO:0004672,GO:0032465,GO:0007059,GO:0000278,GO:0000226",AT2G45490,"AtAUR3,AUR3",ataurora3,LOC_Os03g55620,NA,"CAMK_CAMK_like_Aur_like.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
3910,PstI.TP539520,,,,,,,,,,,NA,
3911,PstI.TP539520,,"PTHR34953,PTHR34953:SF1",,,,,AT2G40095,,Alpha/beta hydrolase related protein,LOC_Os03g03200,NA,"hydrolase, alpha/beta fold family protein, putative, expressed"
3912,PstI.TP541575,PF00067,"PTHR24282,PTHR24282:SF44",KOG0157,,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT2G46950,CYP709B2,"cytochrome P450, family 709, subfamily B, polypeptide 2",LOC_Os07g23570,NA,"cytochrome P450 72A1, putative, expressed"
3913,PstI.TP541575,PF00067,"PTHR24282,PTHR24282:SF44",KOG0157,,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT2G46950,CYP709B2,"cytochrome P450, family 709, subfamily B, polypeptide 2",LOC_Os07g44140,NA,"cytochrome P450 72A1, putative, expressed"
3914,PstI.TP541575,"PF13812,PF01535,PF13041","PTHR24015,PTHR24015:SF70",,,,,AT3G57430,OTP84,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os07g44170,NA,"pentatricopeptide repeat domain containing protein, putative, expressed"
3920,PstI.TP541575,,,,,,,,,,,NA,
3922,PstI.TP543083,"PF12142,PF12143,PF00264","PTHR11474,PTHR11474:SF16",,1.10.3.1,K00422,"GO:0055114,GO:0004097,GO:0016491,GO:0008152",,,,LOC_Os01g58100,NA,"polyphenol oxidase, putative, expressed"
3924,PstI.TP544110,PF13639,"PTHR14155,PTHR14155:SF113",,,,"GO:0008270,GO:0005515",AT5G43420,,RING/U-box superfamily protein,LOC_Os02g57460,NA,"RING-H2 finger protein ATL5G, putative, expressed"
3925,PstI.TP544110,PF03195,"PTHR31529,PTHR31529:SF5",,,,,AT3G58190,"ASL16,LBD29",lateral organ boundaries-domain 29,LOC_Os08g44940,NA,"DUF260 domain containing protein, putative, expressed"
3926,PstI.TP544110,PF00847,"PTHR31190,PTHR31190:SF33",,,,"GO:0006355,GO:0003700",AT3G23230,,Integrase-type DNA-binding superfamily protein,LOC_Os08g44960,NA,"AP2 domain containing protein, expressed"
3927,PstI.TP544110,,,,,,,,,,,NA,
3928,PstI.TP545057,,,,,,,,,,,NA,
3929,PstI.TP545057,"PF08263,PF13855,PF00069","PTHR27008,PTHR27008:SF24",KOG1187,2.7.11.1,,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT2G26730,,Leucine-rich repeat protein kinase family protein,LOC_Os01g42294,NA,"inactive receptor kinase At2g26730 precursor, putative, expressed"
3930,PstI.TP547023,"PF00628,PF02791","PTHR22880,PTHR22880:SF5",,,,GO:0005515,AT5G22760,,PHD finger family protein,LOC_Os07g46690,NA,"PHD-finger family protein, expressed"
3932,PstI.TP547023,PF13920,"PTHR15315,PTHR15315:SF30",KOG1039,,,,AT3G47160,,RING/U-box superfamily protein,LOC_Os07g46700,NA,"zinc finger, RING-type, putative, expressed"
3935,PstI.TP547023,"PF02721,PF08646","PTHR23273,PTHR23273:SF9",,,K07466,,AT1G52950,,"Nucleic acid-binding, OB-fold-like protein",LOC_Os03g08400,NA,"retrotransposon protein, putative, unclassified, expressed"
3938,PstI.TP548709,,"PTHR10593,PTHR10593:SF40",,,,,AT1G25250,"AtIDD16,IDD16",indeterminate(ID)-domain 16,LOC_Os09g27650,NA,"ZOS9-14 - C2H2 zinc finger protein, expressed"
3940,PstI.TP548709,,,,,,,,,,,NA,
3941,PstI.TP548709,PF07651,"PTHR22951,PTHR22951:SF19",,,,GO:0005543,AT1G25240,,ENTH/VHS/GAT family protein,LOC_Os08g36410,NA,"ANTH domain containing protein, expressed"
3942,PstI.TP551551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3944,PstI.TP551551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3946,PstI.TP551551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3948,PstI.TP56482,PF07714,"PTHR27001,PTHR27001:SF59",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT1G20650,,Protein kinase superfamily protein,LOC_Os02g58610,NA,"protein kinase, putative, expressed"
3950,PstI.TP568461,PF00076,PTHR24012,,,,GO:0003676,AT5G61030,GR-RBP3,glycine-rich RNA-binding protein 3,LOC_Os01g74340,NA,"RNA recognition motif containing protein, putative, expressed"
3952,PstI.TP568461,PF03283,"PTHR21562,PTHR21562:SF20",KOG4287,,,GO:0016787,AT3G09410,,Pectinacetylesterase family protein,LOC_Os01g74330,NA,"pectinacetylesterase domain containing protein, expressed"
3954,PstI.TP568461,,,,,,,AT2G39500,,,,NA,
3955,PstI.TP568461,PF00230,"PTHR19139,PTHR19139:SF55",KOG0223,,K09873,"GO:0016020,GO:0006810,GO:0005215",AT4G01470,"ATTIP1.3,GAMMA-TIP3,TIP1;3",tonoplast intrinsic protein 1;3,LOC_Os01g74450,NA,"aquaporin protein, putative, expressed"
3956,PstI.TP568461,PF03164,"PTHR13027,PTHR13027:SF7",KOG0997,,,,AT2G28390,,SAND family protein,LOC_Os01g74460,NA,"vacuolar fusion protein MON1 homolog A, putative, expressed"
3959,PstI.TP569914,,,,,,,,,,,NA,
3960,PstI.TP569914,PF03106,"PTHR31282,PTHR31282:SF11",,,,"GO:0043565,GO:0006355,GO:0003700",AT2G40750,"ATWRKY54,WRKY54",WRKY DNA-binding protein 54,LOC_Os12g02450,NA,"WRKY64, expressed"
3961,PstI.TP570804,PF01730,"PTHR33620,PTHR33620:SF1",,,K03188,"GO:0016151,GO:0006807",AT1G21840,UREF,urease accessory protein F,LOC_Os02g07150,NA,"urease accessory protein F, putative, expressed"
3967,PstI.TP570804,"PF13646,PF08623",PTHR12696,,,K17263,,AT2G02560,"ATCAND1,CAND1,ETA2,HVE,TIP120",cullin-associated and neddylation dissociated,LOC_Os02g07120,NA,"HEAT repeat family protein, putative, expressed"
3968,PstI.TP570804,PF00903,"PTHR11959,PTHR11959:SF7",KOG0638,1.13.11.27,K00457,"GO:0055114,GO:0016701,GO:0009072,GO:0003868",AT1G06570,"HPD,PDS1",phytoene desaturation 1,LOC_Os02g07160,NA,"glyoxalase family protein, putative, expressed"
3969,PstI.TP572438,,,,,,,,,,,NA,
3970,PstI.TP572438,PF03547,"PTHR31752,PTHR31752:SF2",,,,"GO:0055085,GO:0016021",AT5G16530,PIN5,Auxin efflux carrier family protein,LOC_Os01g69070,NA,"auxin efflux carrier component, putative, expressed"
3973,PstI.TP572438,PF03405,"PTHR31155,PTHR31155:SF9",,1.14.19.2,K03921,"GO:0055114,GO:0045300,GO:0006631",AT2G43710,"FAB2,SSI2",Plant stearoyl-acyl-carrier-protein desaturase family protein,LOC_Os01g69080,NA,"acyl-desaturase, chloroplast precursor, putative, expressed"
3974,PstI.TP572438,PF00571,"PTHR13780,PTHR13780:SF46",KOG1764,,,,AT1G65320,,Cystathionine beta-synthase (CBS) family protein,LOC_Os01g69090,NA,"CBS domain-containing protein, putative, expressed"
3977,PstI.TP576366,"PF00497,PF13458,PF00060","PTHR18966,PTHR18966:SF235",KOG1052,,K05387,"GO:0016020,GO:0004970",AT1G05200,"ATGLR3.4,GLR3.4,GLUR3",glutamate receptor 3.4,LOC_Os07g01310,NA,"glutamate receptor, putative, expressed"
3978,PstI.TP576366,"PF13458,PF00497,PF00060","PTHR18966,PTHR18966:SF235",KOG1052,,K05387,"GO:0016020,GO:0004970",AT1G05200,"ATGLR3.4,GLR3.4,GLUR3",glutamate receptor 3.4,LOC_Os07g01310,NA,"glutamate receptor, putative, expressed"
3979,PstI.TP57930,PF03381,"PTHR10926,PTHR10926:SF27",KOG2952,,,GO:0016020,AT1G79450,ALIS5,ALA-interacting subunit 5,LOC_Os09g38768,NA,"cell cycle control protein, putative, expressed"
3980,PstI.TP57930,"PF03473,PF03476","PTHR14237,PTHR14237:SF30",KOG2362,2.8.1.9,,"GO:0030170,GO:0030151,GO:0003824",AT5G44720,,Molybdenum cofactor sulfurase family protein,LOC_Os09g38772,NA,"MOSC domain-containing protein, mitochondrial precursor, putative, expressed"
3981,PstI.TP57930,"PF03473,PF03476","PTHR14237,PTHR14237:SF30",KOG2362,2.8.1.9,,"GO:0030170,GO:0030151,GO:0003824",AT1G30910,,Molybdenum cofactor sulfurase family protein,LOC_Os09g38772,NA,"MOSC domain-containing protein, mitochondrial precursor, putative, expressed"
3982,PstI.TP57930,PF07983,"PTHR32227,PTHR32227:SF104",,,,,AT1G79480,,Carbohydrate-binding X8 domain superfamily protein,LOC_Os09g38784,NA,"retrotransposon protein, putative, unclassified, expressed"
3983,PstI.TP57930,,PTHR23215,KOG2893,,,,AT1G30970,SUF4,zinc finger (C2H2 type) family protein,LOC_Os09g38790,NA,"ZOS9-19 - C2H2 zinc finger protein, expressed"
3984,PstI.TP57930,PF14159,"PTHR33222:SF9,PTHR33222",,,,,AT2G46820,"PSAP,PSI-P,PTAC8,TMP14",photosystem I P subunit,LOC_Os07g28610,NA,expressed protein
3985,PstI.TP579760,PF06244,"PTHR21680,PTHR21680:SF0",KOG3223,,,,AT1G16210,,,LOC_Os04g47370,NA,"coiled-coil domain-containing protein 124, putative, expressed"
3986,PstI.TP579760,,PTHR21568,KOG2364,,K07583,,AT1G20410,,Pseudouridine synthase family protein,LOC_Os04g47380,NA,"coiled-coil domain-containing protein 139, putative, expressed"
3987,PstI.TP579760,PF00657,"PTHR22835,PTHR22835:SF161",,3.1.1.3,,GO:0016788,AT1G71691,,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os04g47390,NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
3988,PstI.TP579760,PF00657,"PTHR22835,PTHR22835:SF161",,3.1.1.3,,GO:0016788,AT5G55050,,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os04g47390,NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
3989,PstI.TP579760,"PF07731,PF07732,PF00394","PTHR11709,PTHR11709:SF64",,1.10.3.2,,"GO:0055114,GO:0016491,GO:0005507",AT1G76160,sks5,SKU5 similar 5,LOC_Os04g47400,NA,"monocopper oxidase, putative, expressed"
3990,PstI.TP581762,PF00069,"PTHR13902,PTHR13902:SF57",,2.7.11.1,K08867,"GO:0006468,GO:0005524,GO:0004672",AT3G18750,"ATWNK6,WNK6,ZIK5",with no lysine (K) kinase 6,LOC_Os02g45130,NA,"protein kinase, putative, expressed"
3992,PstI.TP581762,PF01096,"PTHR11239,PTHR11239:SF12",KOG2906,2.7.7.6,K03019,"GO:0008270,GO:0006351,GO:0003676",AT4G07950,,"DNA-directed RNA polymerase, subunit M, archaeal",LOC_Os02g45120,NA,expressed protein
3993,PstI.TP581762,PF05063,"PTHR12829,PTHR12829:SF2",,2.1.1.62,K05925,"GO:0008168,GO:0006139",AT4G10760,"EMB1706,MTA",mRNAadenosine methylase,LOC_Os02g45110,NA,"MT-A70 domain containing protein, expressed"
3995,PstI.TP582861,PF00462,"PTHR10168,PTHR10168:SF75",,1.11.1.15,K17479,"GO:0045454,GO:0015035,GO:0009055",AT5G58530,,Glutaredoxin family protein,LOC_Os01g61350,NA,"glutaredoxin, putative, expressed"
